SECCION ELECTORAL,MUNICIPIO,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,CAND_IND_1,CAND_IND_2,CAND_IND_3,PAN0PRI0PRD,PAN0PRI,PAN0PRD,PRI0PRD,PVEM0PT0MORENA,PVEM0PT,PVEM0MORENA,PT0MORENA,TOTAL DE VOTOS,LISTA NOMINAL,CASILLA,DISTRITO F,DISTRITO L
1752,SAN MARTIN TEXMELUCAN,35,24,1,47,39,33,90,1,1,9,0,0,0,1,0,1,0,0,2,0,2,300,731,C,5,7
1752,SAN MARTIN TEXMELUCAN,41,29,1,38,29,28,71,4,2,10,0,0,0,0,1,1,0,0,0,0,2,268,731,C,5,7
1753,SAN MARTIN TEXMELUCAN,33,22,4,18,44,47,83,20,3,15,0,0,0,3,0,0,0,2,0,0,1,310,633,B,5,7
1753,SAN MARTIN TEXMELUCAN,38,24,1,6,27,26,106,14,5,12,0,0,0,2,2,1,0,0,0,0,0,284,633,C,5,7
1753,SAN MARTIN TEXMELUCAN,43,22,5,11,30,35,82,9,10,15,0,0,0,2,1,0,0,0,0,0,0,276,633,C,5,7
1753,SAN MARTIN TEXMELUCAN,48,17,4,22,19,50,102,12,2,15,0,0,0,1,2,0,1,1,0,0,1,312,633,C,5,7
1753,SAN MARTIN TEXMELUCAN,35,26,2,14,35,37,100,12,4,11,0,0,0,1,0,2,0,1,1,0,2,301,632,C,5,7
1754,SAN MARTIN TEXMELUCAN,45,39,2,33,31,37,79,16,5,8,0,0,0,1,0,1,0,1,2,0,1,312,644,B,5,7
1754,SAN MARTIN TEXMELUCAN,34,28,3,29,15,43,73,19,2,12,0,0,0,0,0,0,0,1,0,2,2,275,644,C,5,7
1754,SAN MARTIN TEXMELUCAN,59,35,6,21,21,40,82,11,6,15,0,0,0,0,0,3,0,1,1,0,2,316,643,C,5,7
1754,SAN MARTIN TEXMELUCAN,36,36,2,23,29,45,89,13,0,17,0,0,0,2,0,0,0,0,0,0,2,312,643,C,5,7
1754,SAN MARTIN TEXMELUCAN,51,30,6,15,22,31,65,11,5,12,0,0,0,1,0,0,0,1,0,2,0,271,643,C,5,7
1755,SAN MARTIN TEXMELUCAN,52,34,4,10,18,43,88,10,7,15,0,0,0,1,1,0,0,0,1,0,3,303,736,B,5,7
1755,SAN MARTIN TEXMELUCAN,60,20,3,11,15,47,131,16,4,13,0,0,0,0,1,1,0,1,0,1,3,341,736,C,5,7
1755,SAN MARTIN TEXMELUCAN,42,18,2,12,26,56,134,17,10,15,0,0,0,0,0,1,1,3,0,0,2,348,735,C,5,7
1755,SAN MARTIN TEXMELUCAN,38,15,6,16,22,34,111,15,7,13,0,0,0,2,0,0,0,1,0,0,1,306,735,C,5,7
1756,SAN MARTIN TEXMELUCAN,50,22,1,15,28,45,120,13,4,15,0,0,0,0,0,1,0,2,0,0,4,332,747,B,5,7
1756,SAN MARTIN TEXMELUCAN,53,28,6,26,25,40,113,13,4,9,0,0,0,1,0,1,0,0,0,0,3,341,747,C,5,7
1756,SAN MARTIN TEXMELUCAN,34,21,5,15,30,40,135,12,5,16,0,0,0,0,0,0,0,0,0,0,1,327,747,C,5,7
1756,SAN MARTIN TEXMELUCAN,48,26,2,19,28,39,128,9,7,14,0,0,0,1,0,0,0,2,1,0,1,338,747,C,5,7
1756,SAN MARTIN TEXMELUCAN,50,22,6,20,31,42,107,15,10,13,0,0,0,0,0,0,0,3,0,0,4,341,747,C,5,7
1756,SAN MARTIN TEXMELUCAN,53,21,9,5,26,37,127,20,5,17,0,0,0,2,1,0,0,3,0,0,3,350,747,C,5,7
1756,SAN MARTIN TEXMELUCAN,44,30,11,14,23,36,117,22,6,10,0,0,0,0,0,0,0,1,0,0,1,323,746,C,5,7
1757,SAN MARTIN TEXMELUCAN,50,38,4,15,16,39,92,19,1,9,0,0,0,0,0,0,0,0,0,0,1,300,651,B,5,7
1757,SAN MARTIN TEXMELUCAN,36,35,2,14,15,21,92,16,5,9,0,0,0,0,0,0,0,1,0,0,0,267,651,C,5,7
1757,SAN MARTIN TEXMELUCAN,65,51,8,15,20,38,93,19,1,16,0,0,0,3,0,1,0,1,0,0,1,344,651,C,5,7
