SECCION ELECTORAL,MUNICIPIO,PAN_CONVERGENCIA_NA_PRD,PRI_VERDE,PT,CANDIDATOS NO REGISTRADOS,TOTAL DE VOTOS,LISTA NOMINAL,CASILLA,DISTRITO F,DISTRITO L
123,AMOZOC,141,176,18,0,383,647,CONTIGUA 3,7,12
123,AMOZOC,164,183,22,0,384,647,CONTIGUA 2,7,12
123,AMOZOC,202,168,16,0,395,647,CONTIGUA 4,7,12
123,AMOZOC,67,191,13,0,400,647,CONTIGUA 1,7,12
124,AMOZOC,153,106,25,0,293,595,CONTIGUA 1,7,12
124,AMOZOC,162,111,24,0,317,596,CONTIGUA 3,7,12
124,AMOZOC,166,106,33,0,326,595,BÁSICA,7,12
124,AMOZOC,167,115,40,0,331,596,CONTIGUA 2,7,12
125,AMOZOC,163,113,26,0,316,541,CONTIGUA 1,7,12
125,AMOZOC,160,112,34,0,0,541,BÁSICA,7,12
125,AMOZOC,164,100,28,0,0,541,CONTIGUA 2,7,12
126,AMOZOC,155,128,24,0,327,644,BÁSICA,7,12
126,AMOZOC,163,120,34,0,337,644,CONTIGUA 1,7,12
126,AMOZOC,164,136,30,0,339,645,CONTIGUA 3,7,12
126,AMOZOC,192,110,36,0,351,644,CONTIGUA 2,7,12
127,AMOZOC,173,131,27,0,346,692,CONTIGUA 4,7,12
127,AMOZOC,179,127,25,0,346,692,CONTIGUA 3,7,12
127,AMOZOC,180,132,17,0,348,692,CONTIGUA 6,7,12
127,AMOZOC,166,136,32,0,355,692,CONTIGUA 2,7,12
127,AMOZOC,172,154,33,0,371,692,CONTIGUA 5,7,12
127,AMOZOC,146,157,29,0,374,692,CONTIGUA 1,7,12
127,AMOZOC,189,170,25,0,401,692,BÁSICA,7,12
128,AMOZOC,186,122,34,0,356,718,BÁSICA,7,12
128,AMOZOC,196,115,32,0,356,719,CONTIGUA 1,7,12
129,AMOZOC,148,151,26,0,362,718,CONTIGUA 3,7,12
129,AMOZOC,178,135,27,0,364,718,BÁSICA,7,12
129,AMOZOC,179,139,33,0,364,718,CONTIGUA 5,7,12
129,AMOZOC,202,119,24,0,368,719,CONTIGUA 7,7,12
129,AMOZOC,187,134,27,0,376,718,CONTIGUA 1,7,12
129,AMOZOC,151,167,31,0,377,718,CONTIGUA 4,7,12
