MUNICIPIO,SECCION ELECTORAL,PAN,PRI,PRD,PT,PVEM,MC,MORENA,C_PAN_PRD_MC,C_PAN_PRD,C_PAN_MC,C_PRD_MC,C_PT_PVEM_MORENA,C_PT_PVEM,C_PT_MORENA,C_PVEM_MORENA,TOTAL DE VOTOS,LISTA NOMINAL,PRIORIDAD
AMOZOC,116,371,219,12,77,85,18,190,77,18,7,1,86,17,17,9,1265,4883,MEDIA (AA)
CHICHIQUILA,430,263,450,16,102,78,7,244,3,1,1,0,30,8,15,3,1262,2657,MEDIA (AA)
ZACATLAN,2480,166,409,16,148,82,18,213,17,3,3,3,83,18,12,5,1259,3950,MEDIA (AA)
ATLIXCO,163,416,188,15,58,36,28,330,35,5,4,2,55,7,13,7,1255,5242,MEDIA (AA)
COYOMEAPAN,306,74,469,7,118,36,16,391,2,1,0,0,29,14,10,5,1234,2248,MEDIA (AA)
PUEBLA,1127,511,111,19,46,25,19,243,96,15,13,4,70,2,5,7,1233,3513,MEDIA (AA)
TEPEACA,2068,83,154,10,733,35,11,109,7,1,2,0,32,7,10,5,1231,2991,MEDIA (AA)
CORONANGO,283,380,149,38,68,48,36,311,68,6,5,2,61,8,9,6,1229,4200,MEDIA (AA)
JOLALPAN,770,59,162,6,187,375,10,350,3,0,0,0,17,12,12,12,1228,3046,MEDIA (AA)
PUEBLA,1537,372,161,30,58,29,33,293,48,10,6,1,90,12,13,6,1224,3802,BAJA (A)
ATEMPAN,143,57,515,7,190,35,10,240,3,4,0,0,50,15,13,9,1222,2727,BAJA (A)
ACATZINGO,46,251,238,19,94,17,20,159,90,50,48,6,76,29,56,31,1221,4865,BAJA (A)
PUEBLA,1221,399,151,24,54,34,24,245,83,9,9,1,96,8,10,8,1219,3964,BAJA (A)
ATEMPAN,140,137,396,10,119,52,11,336,8,4,0,1,50,13,12,10,1218,3140,BAJA (A)
PUEBLA,1400,442,139,11,44,15,33,278,85,10,16,3,70,7,8,2,1215,3107,BAJA (A)
PUEBLA,1076,276,208,22,83,49,24,271,71,9,5,3,97,18,19,10,1211,8070,BAJA (A)
PUEBLA,1238,422,156,22,50,25,23,237,98,11,10,0,92,4,10,10,1208,3518,BAJA (A)
ZARAGOZA,2505,194,266,11,54,222,16,298,18,3,1,0,51,5,4,16,1203,2349,BAJA (A)
VICENTE GUERRERO,2355,402,333,6,242,17,7,85,5,2,3,0,25,2,5,2,1202,2671,BAJA (A)
CUAUTLANCINGO,326,489,115,29,52,13,26,289,59,8,8,2,61,3,15,6,1201,4090,BAJA (A)
SAN PEDRO CHOLULA,1820,476,108,16,47,20,57,207,129,13,11,1,55,4,11,6,1199,3187,BAJA (A)
QUECHOLAC,1625,74,96,4,35,9,7,882,16,1,0,1,35,1,3,0,1190,1288,BAJA (A)
SAN PEDRO CHOLULA,1816,551,77,21,40,29,51,210,103,11,9,0,46,3,9,3,1188,2090,BAJA (A)
ZAUTLA,2516,57,316,46,124,42,16,388,9,3,0,0,89,10,39,9,1184,2632,BAJA (A)
PUEBLA,1155,889,15,11,7,6,33,48,131,7,9,1,15,1,1,1,1181,1917,BAJA (A)
COYOMEAPAN,307,65,378,16,104,44,10,422,1,1,1,0,36,7,17,4,1174,1801,BAJA (A)
PUEBLA,1565,382,145,14,65,19,30,252,77,12,9,2,86,5,20,12,1174,3804,BAJA (A)
TEZIUTLAN,2147,357,146,20,68,58,29,325,49,1,1,1,62,6,10,5,1173,1605,BAJA (A)
PUEBLA,1213,332,135,19,54,27,32,321,79,11,4,1,89,4,15,4,1173,4090,BAJA (A)
PUEBLA,1201,434,130,16,55,16,24,262,75,6,6,4,74,8,7,7,1173,3218,BAJA (A)
PUEBLA,1060,355,227,17,52,29,26,214,53,15,5,2,89,6,19,10,1170,5007,BAJA (A)
PUEBLA,1129,618,51,10,32,12,28,187,126,13,12,2,41,3,9,3,1169,2604,BAJA (A)
CAÑADA MORELOS,262,248,367,17,127,17,25,249,7,3,3,1,32,6,14,4,1168,1867,BAJA (A)
SAN MARTIN TEXMELUCAN,1720,397,114,15,142,34,23,234,42,7,4,1,59,7,10,8,1158,4642,BAJA (A)
CHIGNAHUAPAN,466,177,227,8,303,76,23,166,12,3,4,0,53,14,16,8,1157,2796,BAJA (A)
PUEBLA,1408,370,160,9,59,48,14,263,62,4,5,2,70,8,14,10,1156,4454,BAJA (A)
PUEBLA,1578,324,147,13,64,32,21,326,64,5,8,3,73,6,15,5,1156,2327,BAJA (A)
IXCAQUIXTLA,709,86,410,7,58,31,10,414,4,2,3,1,79,6,11,2,1154,2658,BAJA (A)
TEZIUTLAN,2173,318,151,16,76,157,25,236,12,6,3,6,52,12,8,14,1154,3984,BAJA (A)
PUEBLA,1196,412,91,17,42,35,26,285,87,13,9,3,79,3,11,4,1153,2981,BAJA (A)
MAZAPILTEPEC DE JUAREZ,822,105,502,8,108,44,127,200,6,1,5,0,10,5,2,1,1151,1525,BAJA (A)
TEPEOJUMA,2085,113,395,12,217,15,9,256,5,1,0,1,27,6,43,1,1150,1659,BAJA (A)
PUEBLA,1375,320,139,13,64,32,19,282,62,14,7,1,109,11,16,7,1143,3883,BAJA (A)
PUEBLA,1204,427,103,14,41,18,38,269,78,12,4,3,79,1,8,5,1140,3281,BAJA (A)
XICOTEPEC,2376,308,285,10,105,32,25,253,26,6,2,1,31,7,6,5,1139,3469,BAJA (A)
CHIGNAHUAPAN,464,253,191,12,191,60,20,246,18,2,2,1,47,7,18,13,1139,2056,BAJA (A)
HUAUCHINANGO,612,198,174,37,67,180,20,283,15,5,6,0,59,14,14,8,1138,5442,BAJA (A)
AMOZOC,121,360,157,18,69,29,21,262,59,12,10,1,68,8,14,5,1138,4987,BAJA (A)
PUEBLA,1199,377,109,25,43,22,23,304,70,6,8,0,60,9,42,5,1137,2919,BAJA (A)
CUAUTLANCINGO,334,602,90,8,40,15,22,215,60,10,5,0,36,2,3,5,1136,3579,BAJA (A)
TECAMACHALCO,1911,367,143,15,55,21,23,324,59,1,7,1,57,5,13,6,1134,3816,BAJA (A)
PUEBLA,1072,289,150,19,117,61,18,256,42,7,5,0,79,9,19,8,1130,5995,BAJA (A)
AJALPAN,85,249,60,31,84,50,10,461,21,5,2,0,97,16,11,7,1129,3690,BAJA (A)
QUECHOLAC,1620,41,25,1,71,3,13,809,13,2,0,0,108,0,0,0,1128,1463,BAJA (A)
ZACAPOAXTLA,2440,129,531,15,47,36,9,224,13,3,2,0,39,5,9,5,1126,4257,BAJA (A)
PUEBLA,1374,336,159,9,60,14,27,265,66,12,8,2,102,7,13,6,1123,3578,BAJA (A)
TEPEACA,2075,181,175,9,501,25,14,96,19,0,3,0,40,13,10,2,1122,3017,BAJA (A)
TEZIUTLAN,2164,194,127,8,90,298,12,254,8,2,3,3,46,9,8,10,1121,3861,BAJA (A)
PUEBLA,1212,409,129,9,55,19,20,237,72,8,8,0,90,5,16,5,1121,3375,BAJA (A)
AHUAZOTEPEC,75,176,437,20,101,32,35,228,8,1,1,0,10,5,10,4,1120,1711,BAJA (A)
ZAPOTITLAN,2490,121,59,6,66,450,13,311,4,1,1,0,27,10,14,6,1118,2581,BAJA (A)
