SECCION ELECTORAL,MUNICIPIO,PAN,PRI,PRD,PT,PVEM,MC,MORENA,C_PAN_PRD_MC,C_PAN_PRD,C_PAN_MC,C_PRD_MC,C_PT_PVEM_MORENA,C_PT_PVEM,C_PT_MORENA,C_PVEM_MORENA,TOTAL DE VOTOS,LISTA NOMINAL,CASILLA,DISTRITO F,DISTRITO L
1411,PUEBLA,14,23,0,9,9,1,36,6,2,1,0,17,2,2,1,131,701,C,6,11
1411,PUEBLA,15,26,3,18,10,2,47,5,0,0,0,6,1,1,2,140,701,C,6,11
1411,PUEBLA,18,22,0,15,5,1,31,6,0,1,0,16,2,2,1,123,678,E,6,11
1411,PUEBLA,26,37,2,10,2,2,24,5,0,2,0,15,0,3,1,134,678,E1,6,11
1411,PUEBLA,28,21,1,7,6,3,27,7,2,1,0,21,4,0,0,134,678,E2,6,11
1411,PUEBLA,25,29,0,11,4,2,29,12,1,0,0,18,2,4,1,145,678,E3,6,11
1411,PUEBLA,24,33,1,7,3,1,41,7,0,2,0,15,0,2,1,143,678,E4,6,11
1411,PUEBLA,17,21,0,10,5,2,27,6,0,2,0,14,3,1,1,111,678,E5,6,11
1411,PUEBLA,32,18,1,11,1,1,27,3,3,1,0,15,4,2,1,125,678,E6,6,11
1411,PUEBLA,26,28,1,14,3,1,28,4,0,0,0,10,2,4,2,131,678,E7,6,11
1412,PUEBLA,16,17,2,17,6,4,33,3,0,2,0,5,4,1,1,112,598,B,6,11
1412,PUEBLA,17,14,0,11,5,1,34,1,0,0,0,16,3,0,1,106,598,C,6,11
1412,PUEBLA,14,11,1,19,5,3,42,2,3,1,6,0,4,0,0,115,598,C,6,11
1412,PUEBLA,18,17,0,6,5,1,42,2,0,0,0,13,2,2,2,116,597,C,6,11
1413,PUEBLA,41,18,2,11,6,2,52,3,1,0,0,11,1,2,0,157,682,B,6,11
1413,PUEBLA,39,33,1,8,5,3,49,9,3,0,0,15,2,1,1,174,682,C,6,11
1413,PUEBLA,46,25,3,16,12,1,42,8,1,3,0,15,0,6,2,188,682,C,6,11
1413,PUEBLA,52,32,3,10,1,3,36,8,1,1,0,18,1,0,0,178,682,C,6,11
1413,PUEBLA,28,14,0,11,2,2,47,5,1,1,2,22,5,2,2,152,682,C,6,11
1413,PUEBLA,33,23,7,8,8,3,35,4,0,2,0,13,2,1,0,144,682,C,6,11
1413,PUEBLA,47,25,2,9,4,2,34,9,2,1,0,14,1,3,2,159,682,C,6,11
1413,PUEBLA,26,22,2,8,6,6,42,14,1,1,1,21,1,3,1,160,732,E,6,11
1413,PUEBLA,55,26,4,9,5,2,55,8,3,3,2,20,0,3,1,206,732,E1,6,11
1413,PUEBLA,47,27,5,10,5,2,44,12,0,1,0,21,1,5,4,191,732,E2,6,11
1413,PUEBLA,44,18,2,14,5,4,41,7,0,0,0,20,1,5,2,169,731,E3,6,11
1413,PUEBLA,61,21,4,3,7,3,35,3,1,0,0,21,3,5,0,174,731,E4,6,11
1413,PUEBLA,51,16,4,13,3,3,29,11,0,4,1,18,3,0,3,165,731,E5,6,11
1413,PUEBLA,53,23,2,10,5,3,41,9,1,0,0,16,2,0,1,173,731,E6,6,11
1413,PUEBLA,44,26,2,17,4,4,51,13,1,0,0,16,5,1,1,203,731,E7,6,11
1414,PUEBLA,37,38,2,19,7,0,41,6,0,3,1,13,5,2,3,181,722,B,6,11
1414,PUEBLA,30,30,1,17,5,1,33,2,1,2,1,13,0,2,1,143,721,C,6,11
1414,PUEBLA,28,30,1,19,15,2,43,10,0,0,0,18,2,6,2,180,721,C,6,11
1414,PUEBLA,29,27,0,20,8,1,38,9,0,0,0,13,1,2,2,152,721,C,6,11
1415,PUEBLA,50,17,3,11,10,4,28,13,2,1,0,24,1,3,0,180,722,B,6,11
1415,PUEBLA,45,21,2,6,3,9,50,8,1,3,0,9,0,1,2,169,722,C,6,11
1415,PUEBLA,54,23,1,5,7,2,51,7,0,1,1,11,0,1,1,170,721,C,6,11
1415,PUEBLA,57,15,3,7,5,7,39,9,2,1,0,19,1,2,1,175,721,C,6,11
1415,PUEBLA,40,21,3,6,7,4,38,7,1,0,0,13,3,0,0,151,721,C,6,11
